Acharya Nagarjuna University
Acharya Ranga Agricultural University
Ahmedabad University
AISECT University
Alagappa University
Aligarh Muslim University
"Allahabad Agricultural Institute, Deemed University"
Allahabad University
All India Institute of Medical Sciences
Amity University
Amravati University
Amrita Vishwa Vidyapeetham (Deemed University)
Andhra University
Annamalai University
Anna University
"Anna University of Technology, Tirunelveli"
ARYA Institute of Engineering & Technology
Asian Business School
Assam Agricultural University
Assam University
Avinashilingam Institute for Home Science and Higher Education for Women
Awadhesh Pratap Singh University
Babasaheb Bhimrao Ambedkar University
Banaras Hindu University
Banasthali University
Bangalore University
Bankura University
Barkatullah University
Bengal Engineering College
Berhampur University
Bhagwant University
Bharathiar University
Bharathidasan University
Bharath Institue Of Higher Education & Research
Bharati Vidyapeeth University
Bhavnagar University
Bhupendra Narayan Mandal University
Bidhan Chandra Agricultural University
Biju Pattnaik University of Technology
Birla Institute of Technology and Science
"Birla Institute of Technology, Ranchi"
Birsa Agricultural University
B. R. Ambedkar Bihar University
B. S. Abdur Rahman University
Bundelkhand University
Burdwan University
CCS Haryana Agricultural University
Center for Entrepreneurship and Small Business Management
Central Agricultural University
Central Institute of English and Foreign Languages
Central Institute of Fisheries Education
Central Institute of Higher Tibetan Studies
Chandra Shekhar Azad University of Agriculture and Technology
Chaudhary Charan Singh Haryana Agricultural University
Chaudhary Charan Singh University
Ch. Charan Singh University
Chhatrapati Shahu Ji Maharaj University
Christ University
CMJ University
Cochin University of Science and Technology
Darul Huda Islamic University
Dav University
Dayalbagh Educational Institute
Deccan College Postgraduate and Research Institute
Deen Dayal Upadhyay Gorakhpur University
Delhi College of Engineering (DCE)
Devi Ahilya University of Indore
Dhirubhai Ambani Institute of Information and Communication Technology
Dibrugarh University
Dravidian University
Dr. Babasaheb Ambedkar Marathwada Universtiy
Dr. Babasaheb Ambedkar Technological University
Dr. Bhim Rao Abdekar University
Dr. B.R. Ambedkar Open University
Dr. C.V. Raman University
Dr. D.Y. Patil University
"Dr. Hari Singh Gour University, formerly University of Sagar"
Dr. Panjabrao Deshmukh Krishi Vidyapeeth
Dr. Ram Manohar Lohia Avadh University
Dr. YS Parmar University of Horticulture and Forestry
Eiilm University
Engineering Colleges in Tamil Nadu
Fakir Mohan University
Fatima mata national college kollam kerala
First Global University to teaching Jainism
Forest Research Institute Dehradun
Gandhigram Rural Institute
Gandhi Institute of Technology and Managment
Gauhati University
"Global Open University , Nagaland"
Goa University
Gokhale Institute of Politics and Economics
Govind Ballabh Pant University of Agriculture and Technology
Gujarat Ayurved University
Gujarat Technological University Ahmedabad
Gujarat University Ahmedabad
Gulbarga University
Guru Ghasidas University
Guru Gobind Singh Indraprastha University
Guru Jambeshwar University
Gurukula Kangri University
Gurukul University
Guru Nanak Dev University
Hemchandracharay North Gujarat University
Hemwati Nandan Bahuguna Garhwal University
"Hidayatullah National Law University, Raipur"
Himachal Pradesh Agricultural University
Himachal Pradesh University
IASE (Institute of Advanced Studies) Deemed University
ICFAI University
Indian Agricultural Research Institute
Indian Board of Alternative Medicine
Indian Institute of Information Technology
Indian Institute of Information Technology and Management - Kerala
"Indian Institute of Management, Tiruchirappalli"
Indian Institute of Science
"Indian Institute of Technology, Bombay"
"Indian Institute of Technology, Delhi"
"Indian Institute of Technology, Guwahati"
"Indian Institute of Technology, Hyderabad"
"Indian Institute of Technology, Kanpur"
"Indian Institute of Technology, Kharagpur"
"Indian Institute of Technology, Madras"
"Indian Institute of Technology, Roorkee"
"Indian Institute of Technology, Roorkee"
Indian Law Institue
Indian School of Business Management and Administration
Indian School of Mines (ISM)
Indian Statistical Institute
Indian University
Indian Veterinary Research Institute
Indira Gandhi Agricultural University
Indira Gandhi Institute of Development and Research
Indira Gandhi Institute of Medical Sciences
Indira Gandhi National Open University
Institute of Management and Technical Studies 
Institute of Technology and Management
Integral University
International Institute for Population Sciences
Jadavpur University
Jagran Lakecity University
Jai Narayan Vyas University
